window_months,window_start,window_end,n,alpha,beta,corr,r2,rmse,latest_adp_initial,latest_payems_initial,latest_fitted,latest_residual
12,2024-11-01,2025-10-01,12,89.36720741986124,0.5502655517575408,0.38270153026454956,0.14646046126682777,87.77307717940963,42.0,-105.0,112.47836059367796,-217.47836059367796
12,2024-12-01,2025-11-01,12,88.41357148634836,0.47772279047878174,0.3569242049742273,0.12739488809648436,85.91473914620792,-32.0,64.0,73.12644219102734,-9.126442191027337
12,2025-01-01,2025-12-01,12,81.25111395420656,0.3540830281907619,0.281833341075281,0.07943003214165578,80.0268891113388,41.0,50.0,95.7685181100278,-45.7685181100278
12,2025-02-01,2026-01-01,12,85.34413796514599,0.34380350989587144,0.22509752816590614,0.050668897186400774,80.80576615254672,22.0,130.0,92.90781518285516,37.09218481714484
12,2025-03-01,2026-02-01,12,72.44416316473426,0.17115950729438661,0.09522113968692063,0.009067065443276179,96.03128267284967,63.0,-92.0,83.22721212428061,-175.2272121242806
12,2025-04-01,2026-03-01,12,89.58874336060019,-0.44375620596718524,-0.20499764840624785,0.04202403585209191,88.94615162822983,62.0,178.0,62.07585859063471,115.92414140936529
12,2025-05-01,2026-04-01,12,82.77050580833304,-0.3506775050343168,-0.18829307908667015,0.03545428363193903,85.05252562470477,109.0,115.0,44.546657759592506,70.4533422404075
12,2025-06-01,2026-05-01,12,73.60684440907282,-0.01969757262236371,-0.011517672275903973,0.00013265677465501557,89.22703934907545,122.0,172.0,71.20374054914444,100.79625945085556
12,2025-07-01,2026-06-01,12,55.34656741594496,0.18199263554159334,0.10237748896335827,0.010481150246442472,85.96076212732602,98.0,57.0,73.18184569902111,-16.18184569902111
24,2020-02-01,2022-01-01,24,125.1232488359436,2.959490570650963,0.943790437235607,0.8907403894173782,1445.966567342304,372.0,467.0,1226.0537411181017,-759.0537411181017
