target_date,ADPMNUSNERSA_initial_change_k,CES9091000001_initial_change_k,CES9092000001_initial_change_k,CES9093000001_initial_change_k,PAYEMS_initial_change_k,USGOVT_initial_change_k,USPRIV_initial_change_k,ADPMNUSNERSA_initial_vintage_date,CES9091000001_initial_vintage_date,CES9092000001_initial_vintage_date,CES9093000001_initial_vintage_date,PAYEMS_initial_vintage_date,USGOVT_initial_vintage_date,USPRIV_initial_vintage_date,private_plus_government_initial_change_k,payems_minus_components_initial_k,ADPMNUSNERSA_latest_change_k,CES9091000001_latest_change_k,CES9092000001_latest_change_k,CES9093000001_latest_change_k,PAYEMS_latest_change_k,USGOVT_latest_change_k,USPRIV_latest_change_k,ADPMNUSNERSA_latest_vintage_date,CES9091000001_latest_vintage_date,CES9092000001_latest_vintage_date,CES9093000001_latest_vintage_date,PAYEMS_latest_vintage_date,USGOVT_latest_vintage_date,USPRIV_latest_vintage_date,private_plus_government_latest_change_k,payems_minus_components_latest_k
2021-11-01,500.0,2.0,-9.0,-18.0,210.0,-25.0,235.0,2022-08-31,2021-12-03,2021-12-03,2021-12-03,2021-12-03,2021-12-03,2021-12-03,210.0,0.0,858.0,11.0,-8.0,16.0,658.0,19.0,639.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,658.0,0.0
2021-12-01,366.0,-2.0,0.0,-10.0,199.0,-12.0,211.0,2022-08-31,2022-01-07,2022-01-07,2022-01-07,2022-01-07,2022-01-07,2022-01-07,199.0,0.0,947.0,-7.0,-3.0,26.0,586.0,16.0,570.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,586.0,0.0
2022-01-01,372.0,-1.0,-9.0,33.0,467.0,23.0,444.0,2022-08-31,2022-02-04,2022-02-04,2022-02-04,2022-02-04,2022-02-04,2022-02-04,467.0,0.0,471.0,-3.0,-32.0,22.0,190.0,-13.0,203.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,190.0,0.0
2022-02-01,375.0,0.0,3.0,21.0,678.0,24.0,654.0,2022-08-31,2022-03-04,2022-03-04,2022-03-04,2022-03-04,2022-03-04,2022-03-04,678.0,0.0,584.0,-5.0,-20.0,8.0,819.0,-17.0,836.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,819.0,0.0
2022-03-01,425.0,-1.0,-14.0,20.0,431.0,5.0,426.0,2022-08-31,2022-04-01,2022-04-01,2022-04-01,2022-04-01,2022-04-01,2022-04-01,431.0,0.0,598.0,-7.0,-17.0,25.0,490.0,1.0,489.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,490.0,0.0
2022-04-01,457.0,-6.0,7.0,21.0,428.0,22.0,406.0,2022-08-31,2022-05-06,2022-05-06,2022-05-06,2022-05-06,2022-05-06,2022-05-06,428.0,0.0,685.0,-1.0,16.0,21.0,308.0,36.0,272.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,308.0,0.0
2022-05-01,358.0,5.0,36.0,16.0,390.0,57.0,333.0,2022-08-31,2022-06-03,2022-06-03,2022-06-03,2022-06-03,2022-06-03,2022-06-03,390.0,0.0,303.0,-4.0,32.0,28.0,301.0,56.0,245.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,301.0,0.0
2022-06-01,380.0,-13.0,-1.0,5.0,372.0,-9.0,381.0,2022-08-31,2022-07-08,2022-07-08,2022-07-08,2022-07-08,2022-07-08,2022-07-08,372.0,0.0,538.0,-9.0,7.0,19.0,434.0,17.0,417.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,434.0,0.0
2022-07-01,268.0,10.0,10.0,37.0,528.0,57.0,471.0,2022-08-31,2022-08-05,2022-08-05,2022-08-05,2022-08-05,2022-08-05,2022-08-05,528.0,0.0,409.0,9.0,30.0,125.0,714.0,164.0,550.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,714.0,0.0
2022-08-01,132.0,-2.0,3.0,6.0,315.0,7.0,308.0,2022-08-31,2022-09-02,2022-09-02,2022-09-02,2022-09-02,2022-09-02,2022-09-02,315.0,0.0,365.0,-1.0,7.0,-6.0,290.0,0.0,290.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,290.0,0.0
2022-09-01,208.0,2.0,-16.0,-11.0,263.0,-25.0,288.0,2022-10-05,2022-10-07,2022-10-07,2022-10-07,2022-10-07,2022-10-07,2022-10-07,263.0,0.0,339.0,4.0,5.0,-18.0,220.0,-9.0,229.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,220.0,0.0
2022-10-01,239.0,6.0,-7.0,29.0,261.0,28.0,233.0,2022-11-02,2022-11-04,2022-11-04,2022-11-04,2022-11-04,2022-11-04,2022-11-04,261.0,0.0,251.0,5.0,-9.0,0.0,357.0,-4.0,361.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,357.0,0.0
2022-11-01,127.0,-1.0,11.0,32.0,263.0,42.0,221.0,2022-11-30,2022-12-02,2022-12-02,2022-12-02,2022-12-02,2022-12-02,2022-12-02,263.0,0.0,269.0,7.0,23.0,56.0,303.0,86.0,217.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,303.0,0.0
2022-12-01,235.0,1.0,-19.0,21.0,223.0,3.0,220.0,2023-01-05,2023-01-06,2023-01-06,2023-01-06,2023-01-06,2023-01-06,2023-01-06,223.0,0.0,191.0,-3.0,-30.0,19.0,100.0,-14.0,114.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,100.0,0.0
2023-01-01,106.0,5.0,39.0,30.0,517.0,74.0,443.0,2023-02-01,2023-02-03,2023-02-03,2023-02-03,2023-02-03,2023-02-03,2023-02-03,517.0,0.0,187.0,6.0,66.0,47.0,434.0,119.0,315.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,434.0,0.0
2023-02-01,242.0,7.0,2.0,37.0,311.0,46.0,265.0,2023-03-08,2023-03-10,2023-03-10,2023-03-10,2023-03-10,2023-03-10,2023-03-10,311.0,0.0,150.0,7.0,19.0,28.0,290.0,54.0,236.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,290.0,0.0
2023-03-01,145.0,8.0,13.0,26.0,236.0,47.0,189.0,2023-04-05,2023-04-07,2023-04-07,2023-04-07,2023-04-07,2023-04-07,2023-04-07,236.0,0.0,76.0,6.0,14.0,22.0,68.0,42.0,26.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,68.0,0.0
2023-04-01,296.0,3.0,3.0,17.0,253.0,23.0,230.0,2023-05-03,2023-05-05,2023-05-05,2023-05-05,2023-05-05,2023-05-05,2023-05-05,253.0,0.0,91.0,11.0,20.0,31.0,241.0,62.0,179.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,241.0,0.0
2023-05-01,278.0,7.0,19.0,30.0,339.0,56.0,283.0,2023-06-01,2023-06-02,2023-06-02,2023-06-02,2023-06-02,2023-06-02,2023-06-02,339.0,0.0,360.0,11.0,26.0,43.0,280.0,80.0,200.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,280.0,0.0
2023-06-01,497.0,1.0,27.0,32.0,209.0,60.0,149.0,2023-07-06,2023-07-07,2023-07-07,2023-07-07,2023-07-07,2023-07-07,2023-07-07,209.0,0.0,483.0,10.0,17.0,43.0,225.0,70.0,155.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,225.0,0.0
2023-07-01,324.0,7.0,-11.0,19.0,187.0,15.0,172.0,2023-08-02,2023-08-04,2023-08-04,2023-08-04,2023-08-04,2023-08-04,2023-08-04,187.0,0.0,269.0,5.0,3.0,37.0,163.0,45.0,118.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,163.0,0.0
2023-08-01,177.0,10.0,0.0,-2.0,187.0,8.0,179.0,2023-08-30,2023-09-01,2023-09-01,2023-09-01,2023-09-01,2023-09-01,2023-09-01,187.0,0.0,116.0,16.0,22.0,32.0,218.0,70.0,148.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,218.0,0.0
2023-09-01,89.0,6.0,29.0,38.0,336.0,73.0,263.0,2023-10-04,2023-10-06,2023-10-06,2023-10-06,2023-10-06,2023-10-06,2023-10-06,336.0,0.0,37.0,5.0,17.0,19.0,156.0,41.0,115.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,156.0,0.0
2023-10-01,113.0,3.0,10.0,38.0,150.0,51.0,99.0,2023-11-01,2023-11-03,2023-11-03,2023-11-03,2023-11-03,2023-11-03,2023-11-03,150.0,0.0,-29.0,5.0,24.0,16.0,159.0,45.0,114.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,159.0,0.0
