series,vintage_type,test,value,n,model,equation,term,coefficient,std_error,t_stat,p_value,r2,adj_r2,rmse,mae,start_target_date,end_target_date
,,,,77,government_latest_ar1,USGOVT_latest_change_k = alpha + govt_lag1_k,intercept,4.509288134141457,15.313372656667116,0.29446734140426006,0.7692143115373015,0.14546950527394875,0.13407576534426802,132.39733031776214,60.42793996008858,2020-02-01,2026-06-01
,,,,77,government_latest_ar1,USGOVT_latest_change_k = alpha + govt_lag1_k,govt_lag1_k,0.38113785505668374,0.10666679735514943,3.5731630133009142,0.0006206754143969821,0.14546950527394875,0.13407576534426802,132.39733031776214,60.42793996008858,2020-02-01,2026-06-01
,,,,75,government_latest_ar3,USGOVT_latest_change_k = alpha + govt_lag1_k + govt_lag2_k + govt_lag3_k,intercept,7.055572411426399,15.153199250014024,0.46561602569964683,0.6429155210966684,0.2273032258283647,0.19465406635632387,127.31933002750877,60.39898278404693,2020-04-01,2026-06-01
,,,,75,government_latest_ar3,USGOVT_latest_change_k = alpha + govt_lag1_k + govt_lag2_k + govt_lag3_k,govt_lag1_k,0.4250084342639817,0.11611822208981515,3.6601355636951287,0.00048116629850442023,0.2273032258283647,0.19465406635632387,127.31933002750877,60.39898278404693,2020-04-01,2026-06-01
,,,,75,government_latest_ar3,USGOVT_latest_change_k = alpha + govt_lag1_k + govt_lag2_k + govt_lag3_k,govt_lag2_k,-0.1432316151901776,0.12524459612712116,-1.143615130866005,0.25662453860032836,0.2273032258283647,0.19465406635632387,127.31933002750877,60.39898278404693,2020-04-01,2026-06-01
,,,,75,government_latest_ar3,USGOVT_latest_change_k = alpha + govt_lag1_k + govt_lag2_k + govt_lag3_k,govt_lag3_k,-0.20007382247109903,0.11596313161980515,-1.7253226924489917,0.08881971861288541,0.2273032258283647,0.19465406635632387,127.31933002750877,60.39898278404693,2020-04-01,2026-06-01
,,,,75,government_latest_lag1_plus_lag3_avg,USGOVT_latest_change_k = alpha + govt_lag1_k + govt_lag3_avg_k,intercept,6.969711274774049,15.05264810485224,0.46302226865499857,0.6447448968625857,0.22646307032635615,0.2049759333909772,127.38852856588774,59.866696400434144,2020-04-01,2026-06-01
,,,,75,government_latest_lag1_plus_lag3_avg,USGOVT_latest_change_k = alpha + govt_lag1_k + govt_lag3_avg_k,govt_lag1_k,0.611182422306285,0.1332440558504198,4.586939495390326,1.8544926933870118e-05,0.22646307032635615,0.2049759333909772,127.38852856588774,59.866696400434144,2020-04-01,2026-06-01
,,,,75,government_latest_lag1_plus_lag3_avg,USGOVT_latest_change_k = alpha + govt_lag1_k + govt_lag3_avg_k,govt_lag3_avg_k,-0.5195189139417334,0.19024066156492286,-2.730851068684067,0.007938102189227645,0.22646307032635615,0.2049759333909772,127.38852856588774,59.866696400434144,2020-04-01,2026-06-01
USGOVT,latest,ljung_box_lag_3,18.57278672593995,78,,,,,,,0.0003350297415350358,,,,,,
