date,ticker,종목명,종가,대비,시가,고가,저가,현물가,거래량,거래대금,contract_month,is_spread,close_implied_rate,spot_implied_rate
2026-07-02,A6976000,3개월무위험금리 F 202706,0.0,0.0,0.0,0.0,0.0,96.2,0,0,202706,False,,3.799999999999997
2026-07-02,D696768S,3개월무위험금리 SP 2607-2608,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-02,D696769S,3개월무위험금리 SP 2607-2609,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-02,D69676AS,3개월무위험금리 SP 2607-2610,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-03,A6967000,3개월무위험금리 F 202607,0.0,0.0,0.0,0.0,0.0,97.45,0,0,202607,False,,2.549999999999997
2026-07-03,A6968000,3개월무위험금리 F 202608,0.0,0.0,0.0,0.0,0.0,97.325,0,0,202608,False,,2.674999999999997
2026-07-03,A6969000,3개월무위험금리 F 202609,0.0,0.0,0.0,0.0,0.0,97.25,0,0,202609,False,,2.75
2026-07-03,A696A000,3개월무위험금리 F 202610,97.135,0.035,97.135,97.135,97.135,97.135,10,2428375000,202610,False,2.864999999999995,2.864999999999995
2026-07-03,A696B000,3개월무위험금리 F 202611,0.0,0.0,0.0,0.0,0.0,96.955,0,0,202611,False,,3.0450000000000017
2026-07-03,A696C000,3개월무위험금리 F 202612,0.0,0.0,0.0,0.0,0.0,96.835,0,0,202612,False,,3.1650000000000063
2026-07-03,A6973000,3개월무위험금리 F 202703,0.0,0.0,0.0,0.0,0.0,96.48,0,0,202703,False,,3.519999999999996
2026-07-03,A6976000,3개월무위험금리 F 202706,0.0,0.0,0.0,0.0,0.0,96.215,0,0,202706,False,,3.7849999999999966
2026-07-03,D696768S,3개월무위험금리 SP 2607-2608,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-03,D696769S,3개월무위험금리 SP 2607-2609,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-03,D69676AS,3개월무위험금리 SP 2607-2610,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-06,A6967000,3개월무위험금리 F 202607,0.0,0.0,0.0,0.0,0.0,97.435,0,0,202607,False,,2.5649999999999977
2026-07-06,A6968000,3개월무위험금리 F 202608,0.0,0.0,0.0,0.0,0.0,97.335,0,0,202608,False,,2.6650000000000063
2026-07-06,A6969000,3개월무위험금리 F 202609,0.0,0.0,0.0,0.0,0.0,97.255,0,0,202609,False,,2.7450000000000045
2026-07-06,A696A000,3개월무위험금리 F 202610,97.165,0.03,97.165,97.165,97.165,97.165,20,4858250000,202610,False,2.8349999999999937,2.8349999999999937
2026-07-06,A696B000,3개월무위험금리 F 202611,0.0,0.0,0.0,0.0,0.0,96.965,0,0,202611,False,,3.0349999999999966
2026-07-06,A696C000,3개월무위험금리 F 202612,0.0,0.0,0.0,0.0,0.0,96.835,0,0,202612,False,,3.1650000000000063
2026-07-06,A6973000,3개월무위험금리 F 202703,0.0,0.0,0.0,0.0,0.0,96.475,0,0,202703,False,,3.5250000000000057
2026-07-06,A6976000,3개월무위험금리 F 202706,0.0,0.0,0.0,0.0,0.0,96.195,0,0,202706,False,,3.805000000000007
2026-07-06,D696768S,3개월무위험금리 SP 2607-2608,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-06,D696769S,3개월무위험금리 SP 2607-2609,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-06,D69676AS,3개월무위험금리 SP 2607-2610,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-07,A6967000,3개월무위험금리 F 202607,0.0,0.0,0.0,0.0,0.0,97.44,0,0,202607,False,,2.5600000000000023
2026-07-07,A6968000,3개월무위험금리 F 202608,0.0,0.0,0.0,0.0,0.0,97.34,0,0,202608,False,,2.6599999999999966
2026-07-07,A6969000,3개월무위험금리 F 202609,0.0,0.0,0.0,0.0,0.0,97.27,0,0,202609,False,,2.730000000000004
2026-07-07,A696A000,3개월무위험금리 F 202610,0.0,0.0,0.0,0.0,0.0,97.145,0,0,202610,False,,2.855000000000004
2026-07-07,A696B000,3개월무위험금리 F 202611,0.0,0.0,0.0,0.0,0.0,96.975,0,0,202611,False,,3.0250000000000057
2026-07-07,A696C000,3개월무위험금리 F 202612,0.0,0.0,0.0,0.0,0.0,96.86,0,0,202612,False,,3.1400000000000006
2026-07-07,A6973000,3개월무위험금리 F 202703,0.0,0.0,0.0,0.0,0.0,96.51,0,0,202703,False,,3.489999999999995
2026-07-07,A6976000,3개월무위험금리 F 202706,0.0,0.0,0.0,0.0,0.0,96.225,0,0,202706,False,,3.7750000000000057
2026-07-07,D696768S,3개월무위험금리 SP 2607-2608,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-07,D696769S,3개월무위험금리 SP 2607-2609,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-07,D69676AS,3개월무위험금리 SP 2607-2610,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-08,A6967000,3개월무위험금리 F 202607,0.0,0.0,0.0,0.0,0.0,97.44,0,0,202607,False,,2.5600000000000023
2026-07-08,A6968000,3개월무위험금리 F 202608,0.0,0.0,0.0,0.0,0.0,97.33,0,0,202608,False,,2.6700000000000017
2026-07-08,A6969000,3개월무위험금리 F 202609,0.0,0.0,0.0,0.0,0.0,97.25,0,0,202609,False,,2.75
2026-07-08,A696A000,3개월무위험금리 F 202610,97.195,0.05,97.195,97.195,97.195,97.195,10,2429875000,202610,False,2.805000000000007,2.805000000000007
2026-07-08,A696B000,3개월무위험금리 F 202611,0.0,0.0,0.0,0.0,0.0,96.97,0,0,202611,False,,3.030000000000001
2026-07-08,A696C000,3개월무위험금리 F 202612,0.0,0.0,0.0,0.0,0.0,96.835,0,0,202612,False,,3.1650000000000063
2026-07-08,A6973000,3개월무위험금리 F 202703,0.0,0.0,0.0,0.0,0.0,96.485,0,0,202703,False,,3.5150000000000006
2026-07-08,A6976000,3개월무위험금리 F 202706,0.0,0.0,0.0,0.0,0.0,96.205,0,0,202706,False,,3.7950000000000017
2026-07-08,D696768S,3개월무위험금리 SP 2607-2608,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-08,D696769S,3개월무위험금리 SP 2607-2609,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-08,D69676AS,3개월무위험금리 SP 2607-2610,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-09,A6967000,3개월무위험금리 F 202607,0.0,0.0,0.0,0.0,0.0,97.445,0,0,202607,False,,2.555000000000007
2026-07-09,A6968000,3개월무위험금리 F 202608,0.0,0.0,0.0,0.0,0.0,97.34,0,0,202608,False,,2.6599999999999966
2026-07-09,A6969000,3개월무위험금리 F 202609,0.0,0.0,0.0,0.0,0.0,97.255,0,0,202609,False,,2.7450000000000045
2026-07-09,A696A000,3개월무위험금리 F 202610,0.0,0.0,0.0,0.0,0.0,97.18,0,0,202610,False,,2.819999999999993
2026-07-09,A696B000,3개월무위험금리 F 202611,0.0,0.0,0.0,0.0,0.0,96.975,0,0,202611,False,,3.0250000000000057
2026-07-09,A696C000,3개월무위험금리 F 202612,0.0,0.0,0.0,0.0,0.0,96.845,0,0,202612,False,,3.155000000000001
2026-07-09,A6973000,3개월무위험금리 F 202703,0.0,0.0,0.0,0.0,0.0,96.51,0,0,202703,False,,3.489999999999995
2026-07-09,A6976000,3개월무위험금리 F 202706,0.0,0.0,0.0,0.0,0.0,96.24,0,0,202706,False,,3.760000000000005
2026-07-09,D696768S,3개월무위험금리 SP 2607-2608,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-09,D696769S,3개월무위험금리 SP 2607-2609,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-09,D69676AS,3개월무위험금리 SP 2607-2610,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-10,A6967000,3개월무위험금리 F 202607,0.0,0.0,0.0,0.0,0.0,97.45,0,0,202607,False,,2.549999999999997
2026-07-10,A6968000,3개월무위험금리 F 202608,0.0,0.0,0.0,0.0,0.0,97.34,0,0,202608,False,,2.6599999999999966
2026-07-10,A6969000,3개월무위험금리 F 202609,0.0,0.0,0.0,0.0,0.0,97.26,0,0,202609,False,,2.739999999999995
2026-07-10,A696A000,3개월무위험금리 F 202610,0.0,0.0,0.0,0.0,0.0,97.18,0,0,202610,False,,2.819999999999993
2026-07-10,A696B000,3개월무위험금리 F 202611,0.0,0.0,0.0,0.0,0.0,97.005,0,0,202611,False,,2.9950000000000045
2026-07-10,A696C000,3개월무위험금리 F 202612,0.0,0.0,0.0,0.0,0.0,96.9,0,0,202612,False,,3.0999999999999943
2026-07-10,A6973000,3개월무위험금리 F 202703,0.0,0.0,0.0,0.0,0.0,96.58,0,0,202703,False,,3.4200000000000017
2026-07-10,A6976000,3개월무위험금리 F 202706,0.0,0.0,0.0,0.0,0.0,96.285,0,0,202706,False,,3.7150000000000034
2026-07-10,D696768S,3개월무위험금리 SP 2607-2608,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-10,D696769S,3개월무위험금리 SP 2607-2609,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-10,D69676AS,3개월무위험금리 SP 2607-2610,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-13,A6967000,3개월무위험금리 F 202607,0.0,0.0,0.0,0.0,0.0,97.455,0,0,202607,False,,2.5450000000000017
2026-07-13,A6968000,3개월무위험금리 F 202608,0.0,0.0,0.0,0.0,0.0,97.345,0,0,202608,False,,2.655000000000001
2026-07-13,A6969000,3개월무위험금리 F 202609,0.0,0.0,0.0,0.0,0.0,97.26,0,0,202609,False,,2.739999999999995
2026-07-13,A696A000,3개월무위험금리 F 202610,97.18,0.0,97.18,97.18,97.18,97.18,20,4859000000,202610,False,2.819999999999993,2.819999999999993
2026-07-13,A696B000,3개월무위험금리 F 202611,0.0,0.0,0.0,0.0,0.0,97.01,0,0,202611,False,,2.989999999999995
2026-07-13,A696C000,3개월무위험금리 F 202612,0.0,0.0,0.0,0.0,0.0,96.89,0,0,202612,False,,3.1099999999999994
2026-07-13,A6973000,3개월무위험금리 F 202703,0.0,0.0,0.0,0.0,0.0,96.56,0,0,202703,False,,3.4399999999999977
2026-07-13,A6976000,3개월무위험금리 F 202706,0.0,0.0,0.0,0.0,0.0,96.28,0,0,202706,False,,3.719999999999999
2026-07-13,D696768S,3개월무위험금리 SP 2607-2608,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-13,D696769S,3개월무위험금리 SP 2607-2609,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-13,D69676AS,3개월무위험금리 SP 2607-2610,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-14,A6967000,3개월무위험금리 F 202607,0.0,0.0,0.0,0.0,0.0,97.46,0,0,202607,False,,2.5400000000000063
2026-07-14,A6968000,3개월무위험금리 F 202608,0.0,0.0,0.0,0.0,0.0,97.35,0,0,202608,False,,2.6500000000000057
2026-07-14,A6969000,3개월무위험금리 F 202609,0.0,0.0,0.0,0.0,0.0,97.27,0,0,202609,False,,2.730000000000004
2026-07-14,A696A000,3개월무위험금리 F 202610,0.0,0.0,0.0,0.0,0.0,97.16,0,0,202610,False,,2.8400000000000034
2026-07-14,A696B000,3개월무위험금리 F 202611,0.0,0.0,0.0,0.0,0.0,96.99,0,0,202611,False,,3.010000000000005
2026-07-14,A696C000,3개월무위험금리 F 202612,0.0,0.0,0.0,0.0,0.0,96.85,0,0,202612,False,,3.1500000000000057
2026-07-14,A6973000,3개월무위험금리 F 202703,0.0,0.0,0.0,0.0,0.0,96.51,0,0,202703,False,,3.489999999999995
2026-07-14,A6976000,3개월무위험금리 F 202706,0.0,0.0,0.0,0.0,0.0,96.245,0,0,202706,False,,3.7549999999999955
2026-07-14,D696768S,3개월무위험금리 SP 2607-2608,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-14,D696769S,3개월무위험금리 SP 2607-2609,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-14,D69676AS,3개월무위험금리 SP 2607-2610,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-15,A6968000,3개월무위험금리 F 202608,0.0,0.0,0.0,0.0,0.0,97.355,0,0,202608,False,,2.644999999999996
2026-07-15,A6969000,3개월무위험금리 F 202609,0.0,0.0,0.0,0.0,0.0,97.27,0,0,202609,False,,2.730000000000004
2026-07-15,A696A000,3개월무위험금리 F 202610,0.0,0.0,0.0,0.0,0.0,97.18,0,0,202610,False,,2.819999999999993
2026-07-15,A696B000,3개월무위험금리 F 202611,0.0,0.0,0.0,0.0,0.0,97.02,0,0,202611,False,,2.980000000000004
2026-07-15,A696C000,3개월무위험금리 F 202612,0.0,0.0,0.0,0.0,0.0,96.89,0,0,202612,False,,3.1099999999999994
2026-07-15,A6971000,3개월무위험금리 F 202701,0.0,0.0,0.0,0.0,0.0,96.74,0,0,202701,False,,3.260000000000005
2026-07-15,A6973000,3개월무위험금리 F 202703,0.0,0.0,0.0,0.0,0.0,96.525,0,0,202703,False,,3.4749999999999943
2026-07-15,A6976000,3개월무위험금리 F 202706,0.0,0.0,0.0,0.0,0.0,96.23,0,0,202706,False,,3.769999999999996
2026-07-15,D696869S,3개월무위험금리 SP 2608-2609,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-15,D69686AS,3개월무위험금리 SP 2608-2610,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-15,D69686BS,3개월무위험금리 SP 2608-2611,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-16,A6968000,3개월무위험금리 F 202608,0.0,0.0,0.0,0.0,0.0,97.35,0,0,202608,False,,2.6500000000000057
2026-07-16,A6969000,3개월무위험금리 F 202609,0.0,0.0,0.0,0.0,0.0,97.26,0,0,202609,False,,2.739999999999995
2026-07-16,A696A000,3개월무위험금리 F 202610,0.0,0.0,0.0,0.0,0.0,97.17,0,0,202610,False,,2.8299999999999983
2026-07-16,A696B000,3개월무위험금리 F 202611,0.0,0.0,0.0,0.0,0.0,97.075,0,0,202611,False,,2.924999999999997
2026-07-16,A696C000,3개월무위험금리 F 202612,0.0,0.0,0.0,0.0,0.0,96.955,0,0,202612,False,,3.0450000000000017
2026-07-16,A6971000,3개월무위험금리 F 202701,0.0,0.0,0.0,0.0,0.0,96.78,0,0,202701,False,,3.219999999999999
2026-07-16,A6973000,3개월무위험금리 F 202703,0.0,0.0,0.0,0.0,0.0,96.53,0,0,202703,False,,3.469999999999999
2026-07-16,A6976000,3개월무위험금리 F 202706,0.0,0.0,0.0,0.0,0.0,96.215,0,0,202706,False,,3.7849999999999966
2026-07-16,D696869S,3개월무위험금리 SP 2608-2609,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-16,D69686AS,3개월무위험금리 SP 2608-2610,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-16,D69686BS,3개월무위험금리 SP 2608-2611,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-20,A6968000,3개월무위험금리 F 202608,97.37,0.02,97.385,97.385,97.36,97.37,110,26777750000,202608,False,2.6299999999999955,2.6299999999999955
2026-07-20,A6969000,3개월무위험금리 F 202609,0.0,0.0,0.0,0.0,0.0,97.25,0,0,202609,False,,2.75
2026-07-20,A696A000,3개월무위험금리 F 202610,0.0,0.0,0.0,0.0,0.0,97.15,0,0,202610,False,,2.8499999999999943
2026-07-20,A696B000,3개월무위험금리 F 202611,0.0,0.0,0.0,0.0,0.0,97.07,0,0,202611,False,,2.930000000000007
2026-07-20,A696C000,3개월무위험금리 F 202612,0.0,0.0,0.0,0.0,0.0,96.96,0,0,202612,False,,3.0400000000000063
2026-07-20,A6971000,3개월무위험금리 F 202701,0.0,0.0,0.0,0.0,0.0,96.8,0,0,202701,False,,3.200000000000003
2026-07-20,A6973000,3개월무위험금리 F 202703,0.0,0.0,0.0,0.0,0.0,96.55,0,0,202703,False,,3.450000000000003
2026-07-20,A6976000,3개월무위험금리 F 202706,0.0,0.0,0.0,0.0,0.0,96.22,0,0,202706,False,,3.780000000000001
2026-07-20,D696869S,3개월무위험금리 SP 2608-2609,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-20,D69686AS,3개월무위험금리 SP 2608-2610,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-20,D69686BS,3개월무위험금리 SP 2608-2611,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-21,A6968000,3개월무위험금리 F 202608,0.0,0.0,0.0,0.0,0.0,97.36,0,0,202608,False,,2.6400000000000006
2026-07-21,A6969000,3개월무위험금리 F 202609,0.0,0.0,0.0,0.0,0.0,97.245,0,0,202609,False,,2.7549999999999955
2026-07-21,A696A000,3개월무위험금리 F 202610,0.0,0.0,0.0,0.0,0.0,97.145,0,0,202610,False,,2.855000000000004
2026-07-21,A696B000,3개월무위험금리 F 202611,0.0,0.0,0.0,0.0,0.0,97.055,0,0,202611,False,,2.944999999999993
2026-07-21,A696C000,3개월무위험금리 F 202612,0.0,0.0,0.0,0.0,0.0,96.95,0,0,202612,False,,3.049999999999997
2026-07-21,A6971000,3개월무위험금리 F 202701,0.0,0.0,0.0,0.0,0.0,96.795,0,0,202701,False,,3.2049999999999983
2026-07-21,A6973000,3개월무위험금리 F 202703,0.0,0.0,0.0,0.0,0.0,96.55,0,0,202703,False,,3.450000000000003
2026-07-21,A6976000,3개월무위험금리 F 202706,0.0,0.0,0.0,0.0,0.0,96.225,0,0,202706,False,,3.7750000000000057
2026-07-21,D696869S,3개월무위험금리 SP 2608-2609,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-21,D69686AS,3개월무위험금리 SP 2608-2610,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-21,D69686BS,3개월무위험금리 SP 2608-2611,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-22,A6968000,3개월무위험금리 F 202608,0.0,0.0,0.0,0.0,0.0,97.36,0,0,202608,False,,2.6400000000000006
2026-07-22,A6969000,3개월무위험금리 F 202609,0.0,0.0,0.0,0.0,0.0,97.25,0,0,202609,False,,2.75
2026-07-22,A696A000,3개월무위험금리 F 202610,0.0,0.0,0.0,0.0,0.0,97.15,0,0,202610,False,,2.8499999999999943
2026-07-22,A696B000,3개월무위험금리 F 202611,0.0,0.0,0.0,0.0,0.0,97.05,0,0,202611,False,,2.950000000000003
2026-07-22,A696C000,3개월무위험금리 F 202612,0.0,0.0,0.0,0.0,0.0,96.91,0,0,202612,False,,3.0900000000000034
2026-07-22,A6971000,3개월무위험금리 F 202701,0.0,0.0,0.0,0.0,0.0,96.725,0,0,202701,False,,3.2750000000000057
2026-07-22,A6973000,3개월무위험금리 F 202703,0.0,0.0,0.0,0.0,0.0,96.485,0,0,202703,False,,3.5150000000000006
2026-07-22,A6976000,3개월무위험금리 F 202706,0.0,0.0,0.0,0.0,0.0,96.195,0,0,202706,False,,3.805000000000007
2026-07-22,D696869S,3개월무위험금리 SP 2608-2609,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-22,D69686AS,3개월무위험금리 SP 2608-2610,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-22,D69686BS,3개월무위험금리 SP 2608-2611,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-23,A6968000,3개월무위험금리 F 202608,97.395,0.035,97.395,97.395,97.395,97.395,30,7304625000,202608,False,2.605000000000004,2.605000000000004
2026-07-23,A6969000,3개월무위험금리 F 202609,0.0,0.0,0.0,0.0,0.0,97.245,0,0,202609,False,,2.7549999999999955
