Date,KOFR,CD91,WorkbookComp,basis_bp,d_cd_bp,d_kofr_bp,d_basis_bp,ou_phi,ou_theta,ou_half_life_bd,ou_resid_std_bp,ou_stationary_std_bp,ou_z,kofr_abs_avg,cd_abs_sum,kofr_abs_sum,vol_regime,kofr_driven,event_window,short_signal,long_signal
2025-07-31,2.496,2.51,2.522548089404854,1.399999999999979,0.0,0.30000000000001137,-0.30000000000001137,0.35644127468187237,1.937423688747673,0.6719239387875506,2.198770925747374,2.3533438987463042,-0.2283659812890056,0.2000000000000076,0.0,0.6000000000000227,False,True,False,False,False
2025-08-01,2.533,2.51,2.5235459649369356,-2.300000000000013,0.0,3.699999999999992,-3.699999999999992,0.3567854703550521,1.9202935822538232,0.6725531973161045,2.171579564680424,2.324567871399562,-1.81551747065699,1.3333333333333346,0.0,4.0000000000000036,False,True,False,False,False
2025-08-04,2.475,2.5,2.5229558776870395,2.499999999999991,-0.9999999999999787,-5.799999999999983,4.800000000000004,0.3652674999114847,1.769856499365463,0.688243229136538,2.23489359090627,2.400781335520787,0.30412744794025254,3.266666666666662,0.9999999999999787,9.799999999999986,True,True,False,False,False
2025-08-05,2.485,2.5,2.5225410668829524,1.5000000000000124,0.0,0.9999999999999787,-0.9999999999999787,0.3265190756450781,1.845593951840929,0.6192867635229545,2.2319258650028435,2.3613500138312338,-0.14635439465418287,3.4999999999999845,0.9999999999999787,10.499999999999954,True,True,False,False,False
2025-08-06,2.528,2.5,2.522795842726399,-2.8000000000000025,0.0,4.300000000000015,-4.300000000000015,0.32477015448120833,1.8265809887692397,0.6163293872204482,2.2068409797868833,2.333323511637598,-1.9828287700757643,3.699999999999992,0.9999999999999787,11.099999999999977,True,True,False,False,False
2025-08-07,2.529,2.5,2.5230606318025406,-2.8999999999999915,0.0,0.09999999999998899,-0.09999999999998899,0.3299518569463567,1.6771208622016844,0.6251279333207179,2.2850418318943118,2.4206009030567968,-1.890902732632038,1.7999999999999943,0.0,5.399999999999983,False,True,False,False,False
2025-08-08,2.474,2.5,2.5214490910081624,2.59999999999998,0.0,-5.499999999999972,5.499999999999972,0.384679752128243,1.5684679137590565,0.725547138484612,2.301992220349238,2.4938973721342217,0.41362250819413693,3.299999999999992,0.0,9.899999999999975,True,True,False,False,False
2025-08-11,2.534,2.5,2.5217984496105554,-3.399999999999981,0.0,5.999999999999961,-5.999999999999961,0.33971806351118294,1.657216219082512,0.6420174083004299,2.3094716477807276,2.4555072476131476,-2.059540334893457,3.8666666666666405,0.0,11.599999999999921,True,True,False,False,False
2025-08-12,2.514,2.5,2.5218614185914086,-1.399999999999979,0.0,-2.0000000000000018,2.0000000000000018,0.3199644197258034,1.4905690153168885,0.6082663606743156,2.414730983842646,2.5487182237147157,-1.134126553661907,4.499999999999978,0.0,13.499999999999934,True,True,False,False,False
2025-08-13,2.524,2.51,2.522062713788742,-1.4000000000000234,0.9999999999999787,1.000000000000023,-4.440892098500626e-14,0.3416525903399768,1.4494971158572805,0.6454119475803226,2.395935197971736,2.5493382689441613,-1.1177399055157387,2.999999999999995,0.9999999999999787,8.999999999999986,True,True,False,False,False
2025-08-14,2.513,2.5,2.522250411108824,-1.29999999999999,-0.9999999999999787,-1.100000000000012,0.1000000000000334,0.35895285012022693,1.3914413608969616,0.6765287683473059,2.385549743377241,2.5558849202858163,-1.0530369890816431,1.366666666666679,1.9999999999999574,4.100000000000037,False,True,False,False,False
2025-08-18,2.504,2.51,2.522187246392249,0.5999999999999783,0.9999999999999787,-0.8999999999999897,1.8999999999999684,0.3738462285541403,1.3388928991152895,0.7044817854633681,2.372844174800234,2.5583482146423075,-0.2888163913287381,1.0000000000000082,2.999999999999936,3.000000000000025,False,False,False,False,False
2025-08-19,2.492,2.52,2.5219751493486493,2.8000000000000025,1.000000000000023,-1.200000000000001,2.200000000000024,0.37182722395198536,1.3464296750429436,0.7006256699311282,2.3492463543508766,2.530692031105931,0.5743766159969446,1.0666666666666675,2.9999999999999805,3.200000000000003,False,False,False,False,False
2025-08-20,2.461,2.52,2.5213808777511186,5.900000000000016,0.0,-3.100000000000014,3.100000000000014,0.3680089210596229,1.3978994786189254,0.693391185544136,2.338440196998596,2.514932476000511,1.790147673682582,1.733333333333335,2.0000000000000018,5.200000000000005,False,True,False,False,False
2025-08-21,2.443,2.52,2.520579888960644,7.699999999999996,0.0,-1.7999999999999794,1.7999999999999794,0.3859477107407059,1.5198362007947452,0.7280549524503203,2.3792929707148263,2.5791216162911783,2.396228142235663,2.0333333333333314,1.000000000000023,6.099999999999994,False,True,False,False,False
2025-08-22,2.447,2.53,2.518440877836394,8.299999999999974,0.9999999999999787,0.40000000000000036,0.5999999999999783,0.4442085841215266,1.6769825794079187,0.8541964974223852,2.430128980051404,2.712429419111843,2.4417289437749474,1.7666666666666646,0.9999999999999787,5.299999999999994,False,True,False,False,False
2025-08-25,2.495,2.53,2.518335228456267,3.49999999999997,0.0,4.800000000000004,-4.800000000000004,0.5076282585442514,1.8385764367924644,1.022332117382053,2.4598782345594326,2.855090739566842,0.5819162032866132,2.333333333333328,0.9999999999999787,6.999999999999984,True,True,False,False,False
