Date,KOFR,CD91,WorkbookComp,basis_cd_kofr_bp,basis_chg_bp,KOFR_91d_fwd_comp,basis_cd_fwd91_bp
2025-08-29,2.475,2.53,2.49967279112406,5.499999999999972,1.9000000000000128,2.5317798337476813,-0.17798337476815362
2025-09-01,2.523,2.53,2.5002131072536016,0.6999999999999673,-4.800000000000004,2.5337035996252277,-0.3703599625227927
2025-09-02,2.495,2.53,2.5002998870406103,3.49999999999997,2.8000000000000025,2.53380311859377,-0.38031185937703604
2025-09-03,2.505,2.53,2.500541152457226,2.499999999999991,-0.9999999999999787,2.534212252545931,-0.4212252545931161
2025-09-04,2.504,2.56,2.500762504060968,5.600000000000005,3.100000000000014,2.5343117716894796,2.5688228310520422
2025-09-05,2.524,2.57,2.5022690622774237,4.599999999999982,-1.000000000000023,2.534322829374709,3.5677170625290966
2025-09-08,2.56,2.56,2.503266784404298,0.0,-4.599999999999982,2.5340574817538815,2.5942518246118595
2025-09-09,2.524,2.54,2.5037294660731035,1.6000000000000014,1.6000000000000014,2.533548829317141,0.6451170682859164
2025-09-10,2.584,2.55,2.5050191231168872,-3.4000000000000252,-5.000000000000027,2.5336594059037596,1.6340594096240224
2025-09-11,2.584,2.54,2.506275965227567,-4.400000000000004,-0.9999999999999787,2.533504598894621,0.6495401105378829
2025-09-12,2.55,2.54,2.508506466893183,-0.9999999999999787,3.4000000000000252,2.5333387343053464,0.666126569465364
2025-09-15,2.532,2.54,2.508983332530873,0.8000000000000007,1.7999999999999794,2.5334382392081727,0.6561760791827354
2025-09-16,2.542,2.56,2.5095791181670113,1.8000000000000238,1.000000000000023,2.533659392271864,2.6340607728136067
2025-09-17,2.522,2.57,2.5099075511660134,4.800000000000004,2.9999999999999805,2.533758911178241,3.6241088821758805
2025-09-18,2.512,2.56,2.510104284219457,4.800000000000004,0.0,2.533869487828093,2.6130512171906872
2025-09-19,2.514,2.57,2.510745009553326,5.600000000000005,0.8000000000000007,2.5340906412491897,3.590935875081014
2025-09-22,2.534,2.56,2.5111940871995437,2.6000000000000245,-2.9999999999999805,2.534687673543203,2.531232645679715
2025-09-23,2.552,2.58,2.511847668334515,2.8000000000000025,0.19999999999997797,2.5347761350379487,4.522386496205133
2025-09-24,2.552,2.58,2.5124881366689977,2.8000000000000025,0.0,2.5348867118755436,4.511328812445647
2025-09-25,2.533,2.59,2.512896260870632,5.699999999999994,2.8999999999999915,2.5350083464310535,5.499165356894631
2025-09-26,2.543,2.58,2.514407440925279,3.699999999999992,-2.0000000000000018,2.535338087374226,4.4661912625774125
2025-09-29,2.534,2.57,2.514795387385368,3.600000000000003,-0.09999999999998899,2.5356697722169863,3.4330227783013534
2025-09-30,2.544,2.57,2.51528620142704,2.59999999999998,-1.000000000000023,2.535990445914676,3.4009554085324023
2025-10-01,2.572,2.56,2.5160713629324687,-1.200000000000001,-3.799999999999981,2.536200542584624,2.3799457415376146
